;ds;trend;additive_terms;additive_terms_lower;additive_terms_upper;weekly;weekly_lower;weekly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat_lower;yhat_upper;trend_lower;trend_upper;yhat
1;20/04/2020;221.595.941.932.297;-274.157.106.116.179;-274.157.106.116.179;-274.157.106.116.179;-274.157.106.116.179;-274.157.106.116.179;-274.157.106.116.179;0;0;0;-262.162.313.470.389;163.612.654.950.392;221.595.941.932.297;221.595.941.932.297;-525.611.641.838.815
2;21/04/2020;225.999.381.012.667;171.757.523.686.158;171.757.523.686.158;171.757.523.686.158;171.757.523.686.158;171.757.523.686.158;171.757.523.686.158;0;0;0;177.106.564.060.905;616.301.387.958.534;225.999.381.012.667;225.999.381.012.667;397.756.904.698.825
3;22/04/2020;230.402.820.093.036;765.276.072.041.695;765.276.072.041.695;765.276.072.041.695;765.276.072.041.695;765.276.072.041.695;765.276.072.041.695;0;0;0;875.530.835.039.678;526.957.018.297.619;230.402.820.093.036;230.402.820.093.036;306.930.427.297.206
4;23/04/2020;234.806.259.176.805;11.853.187.845.008;11.853.187.845.008;11.853.187.845.008;11.853.187.845.008;11.853.187.845.008;11.853.187.845.008;0;0;0;121.234.867.481.808;560.496.881.499.141;234.806.259.176.805;234.806.259.176.805;353.338.137.626.884
5;24/04/2020;239.209.698.260.573;833.261.306.466.712;833.261.306.466.712;833.261.306.466.712;833.261.306.466.712;833.261.306.466.712;833.261.306.466.712;0;0;0;108.126.199.134.057;545.354.937.918.696;239.209.698.260.573;239.209.698.260.573;322.535.828.907.244
6;25/04/2020;243.613.137.344.341;429.198.828.309.523;429.198.828.309.523;429.198.828.309.523;429.198.828.309.523;429.198.828.309.523;429.198.828.309.523;0;0;0;547.199.713.653.054;523.985.289.412.409;243.613.137.344.341;243.613.137.344.341;286.533.020.175.293
7;26/04/2020;24.801.657.642.836;-218.905.916.702.468;-218.905.916.702.468;-218.905.916.702.468;-218.905.916.702.468;-218.905.916.702.468;-218.905.916.702.468;0;0;0;-178.955.591.660.728;23.517.713.095.492;24.801.657.642.836;24.801.657.642.836;291.106.597.258.913
8;27/04/2020;252.420.015.512.378;-27.415.710.611.714;-27.415.710.611.714;-27.415.710.611.714;-27.415.710.611.714;-27.415.710.611.714;-27.415.710.611.714;0;0;0;-2.405.144.679.909;193.102.227.213.286;252.420.015.512.378;252.420.015.512.378;-21.737.090.604.762
9;28/04/2020;256.823.454.597.304;171.757.523.686.221;171.757.523.686.221;171.757.523.686.221;171.757.523.686.221;171.757.523.686.221;171.757.523.686.221;0;0;0;208.652.824.600.526;645.793.425.776.968;256.823.454.597.304;256.823.454.597.304;428.580.978.283.525
10;29/04/2020;26.122.689.368.223;765.276.072.042.142;765.276.072.042.142;765.276.072.042.142;765.276.072.042.142;765.276.072.042.142;765.276.072.042.142;0;0;0;13.834.332.260.925;552.284.440.755.656;26.122.689.368.223;26.122.689.368.223;337.754.500.886.444
11;30/04/2020;265.630.332.762.981;118.531.878.450.322;118.531.878.450.322;118.531.878.450.322;118.531.878.450.322;118.531.878.450.322;118.531.878.450.322;0;0;0;171.714.231.073.048;61.507.500.180.764;265.630.332.762.981;265.630.332.762.981;384.162.211.213.303
12;01/05/2020;270.033.771.843.733;83.326.130.647.049;83.326.130.647.049;83.326.130.647.049;83.326.130.647.049;83.326.130.647.049;83.326.130.647.049;0;0;0;144.620.155.191.903;570.420.774.873.921;270.033.771.843.733;270.033.771.843.733;353.359.902.490.782
13;02/05/2020;274.437.210.922.236;429.198.828.316.548;429.198.828.316.548;429.198.828.316.548;429.198.828.316.548;429.198.828.316.548;429.198.828.316.548;0;0;0;101.396.538.677.147;536.836.932.264.105;274.437.210.922.236;274.437.210.922.236;317.357.093.753.891
14;03/05/2020;278.840.650.000.739;-218.905.916.702.504;-218.905.916.702.504;-218.905.916.702.504;-218.905.916.702.504;-218.905.916.702.504;-218.905.916.702.504;0;0;0;-143.415.761.313.402;273.273.396.553.386;278.840.650.000.739;278.840.650.000.739;599.347.332.982.353
15;04/05/2020;283.244.089.079.242;-274.157.106.117.029;-274.157.106.117.029;-274.157.106.117.029;-274.157.106.117.029;-274.157.106.117.029;-274.157.106.117.029;0;0;0;-215.713.482.181.949;227.394.917.930.676;283.244.089.079.242;283.244.089.079.242;908.698.296.221.263
16;05/05/2020;287.647.528.161.536;171.757.523.686.585;171.757.523.686.585;171.757.523.686.585;171.757.523.686.585;171.757.523.686.585;171.757.523.686.585;0;0;0;23.349.055.148.945;683.775.992.855.145;287.647.528.161.536;287.647.528.161.536;459.405.051.848.121
17;06/05/2020;29.205.096.724.383;765.276.072.040.622;765.276.072.040.622;765.276.072.040.622;765.276.072.040.622;765.276.072.040.622;765.276.072.040.622;0;0;0;148.044.095.838.846;591.181.598.378.331;29.205.096.724.383;29.205.096.724.383;368.578.574.447.892
18;07/05/2020;296.454.406.327.077;118.531.878.450.236;118.531.878.450.236;118.531.878.450.236;118.531.878.450.236;118.531.878.450.236;118.531.878.450.236;0;0;0;209.787.661.604.604;630.504.854.344.076;296.454.406.327.077;296.454.406.327.077;414.986.284.777.313
19;08/05/2020;300.857.845.410.324;833.261.306.467.193;833.261.306.467.193;833.261.306.467.193;833.261.306.467.193;833.261.306.467.193;833.261.306.467.193;0;0;0;161.499.765.802.672;582.241.460.928.999;300.857.845.410.324;300.857.845.410.324;384.183.976.057.043
20;09/05/2020;305.261.284.495.011;429.198.828.319.022;429.198.828.319.022;429.198.828.319.022;429.198.828.319.022;429.198.828.319.022;429.198.828.319.022;0;0;0;132.913.543.088.705;553.134.440.920.535;305.261.284.495.011;305.261.284.495.011;348.181.167.326.913
21;10/05/2020;309.664.723.579.699;-218.905.916.702.539;-218.905.916.702.539;-218.905.916.702.539;-218.905.916.702.539;-218.905.916.702.539;-218.905.916.702.539;0;0;0;-139.213.764.168.257;300.414.694.872.742;309.664.723.579.699;309.664.723.579.699;907.588.068.771.593
22;11/05/2020;314.068.162.664.386;-27.415.710.611.655;-27.415.710.611.655;-27.415.710.611.655;-27.415.710.611.655;-27.415.710.611.655;-27.415.710.611.655;0;0;0;-166.271.658.366.863;264.366.261.036.073;314.068.162.664.386;314.068.162.664.386;399.110.565.478.361
23;12/05/2020;318.471.601.743.461;171.757.523.686.648;171.757.523.686.648;171.757.523.686.648;171.757.523.686.648;171.757.523.686.648;171.757.523.686.648;0;0;0;271.503.312.048.944;697.240.668.856.391;318.471.601.743.461;318.471.601.743.461;490.229.125.430.109
24;13/05/2020;322.875.040.822.536;765.276.072.044.273;765.276.072.044.273;765.276.072.044.273;765.276.072.044.273;765.276.072.044.273;765.276.072.044.273;0;0;0;185.726.301.200.503;608.112.210.497.555;322.875.040.822.536;322.875.040.822.536;399.402.648.026.963
25;14/05/2020;327.278.479.897.524;118.531.878.450.151;118.531.878.450.151;118.531.878.450.151;118.531.878.450.151;118.531.878.450.151;118.531.878.450.151;0;0;0;227.555.869.406.535;666.716.905.324.699;327.278.479.897.524;327.278.479.897.524;445.810.358.347.674
